day,hour,avg,conc,city
01/05/16,0,199,148,0
01/05/16,1,199,149,0
01/05/16,2,204,154,0
01/05/16,3,197,144,0
01/05/16,4,215,165,0
01/05/16,5,224,174,0
01/05/16,6,228,178,0
01/05/16,7,227,177,0
01/05/16,8,217,167,0
01/05/16,9,221,171,0
01/05/16,10,214,164,0
01/05/16,11,212,162,0
01/05/16,12,224,174,0
01/05/16,13,218,168,0
01/05/16,14,218,168,0
01/05/16,15,216,166,0
01/05/16,16,211,161,0
01/05/16,17,198,147,0
01/05/16,18,203,153,0
01/05/16,19,213,163,0
01/05/16,20,237,187,0
01/05/16,21,257,207,0
01/05/16,22,184,120,0
01/05/16,23,119,43,0
02/05/16,0,119,43,0
02/05/16,1,160,72,0
02/05/16,2,165,83,0
02/05/16,3,137,50,0
02/05/16,4,107,38,0
02/05/16,5,117,42,0
02/05/16,6,95,33,0
02/05/16,7,142,52,0
02/05/16,8,174,101,0
02/05/16,9,175,102,0
02/05/16,10,137,50,0
02/05/16,11,110,39,0
02/05/16,12,310,260,0
02/05/16,13,102,36,0
02/05/16,14,112,40,0
02/05/16,15,117,42,0
02/05/16,16,163,78,0
02/05/16,17,154,61,0
02/05/16,18,124,45,0
02/05/16,19,153,60,0
02/05/16,20,156,66,0
02/05/16,21,162,77,0
02/05/16,22,156,66,0
02/05/16,23,147,54,0
03/05/16,0,149,55,0
03/05/16,1,137,50,0
03/05/16,2,137,50,0
03/05/16,3,122,44,0
03/05/16,4,110,39,0
03/05/16,5,97,34,0
03/05/16,6,66,19,0
03/05/16,7,63,18,0
03/05/16,8,63,18,0
03/05/16,9,70,21,0
03/05/16,10,59,16,0
03/05/16,11,78,25,0
03/05/16,12,105,37,0
03/05/16,13,160,73,0
03/05/16,14,70,21,0
03/05/16,15,78,25,0
03/05/16,16,95,33,0
03/05/16,17,115,41,0
03/05/16,18,57,15,0
03/05/16,19,61,17,0
03/05/16,20,61,17,0
03/05/16,21,87,29,0
03/05/16,22,82,27,0
03/05/16,23,93,32,0
04/05/16,0,89,30,0
04/05/16,1,89,30,0
04/05/16,2,99,35,0
04/05/16,3,110,39,0
04/05/16,4,80,26,0
04/05/16,5,57,15,0
04/05/16,6,74,23,0
04/05/16,7,68,20,0
04/05/16,8,78,25,0
04/05/16,9,80,26,0
04/05/16,10,63,18,0
04/05/16,11,117,42,0
04/05/16,12,66,19,0
04/05/16,13,66,19,0
04/05/16,14,59,16,0
04/05/16,15,68,20,0
04/05/16,16,61,17,0
04/05/16,17,63,18,0
04/05/16,18,78,25,0
04/05/16,19,74,23,0
04/05/16,20,105,37,0
04/05/16,21,87,29,0
04/05/16,22,63,18,0
04/05/16,23,78,25,0
05/05/16,0,80,26,0
05/05/16,1,102,36,0
05/05/16,2,80,26,0
05/05/16,3,80,26,0
05/05/16,4,57,15,0
05/05/16,5,57,15,0
05/05/16,6,63,18,0
05/05/16,7,89,30,0
05/05/16,8,105,37,0
05/05/16,9,102,36,0
05/05/16,10,107,38,0
05/05/16,11,112,40,0
05/05/16,12,129,47,0
05/05/16,13,155,63,0
05/05/16,14,142,52,0
05/05/16,15,151,56,0
05/05/16,16,153,60,0
05/05/16,17,151,56,0
05/05/16,18,155,64,0
05/05/16,19,156,65,0
05/05/16,20,160,72,0
05/05/16,21,161,75,0
05/05/16,22,165,83,0
05/05/16,23,151,56,0
06/05/16,0,181,114,0
06/05/16,1,249,199,0
06/05/16,2,298,248,0
06/05/16,3,459,439,0
06/05/16,4,321,271,0
06/05/16,5,156,65,0
06/05/16,6,107,38,0
06/05/16,7,74,23,0
06/05/16,8,57,15,0
06/05/16,9,53,13,0
06/05/16,10,50,12,0
06/05/16,11,46,11,0
06/05/16,12,33,8,0
06/05/16,13,46,11,0
06/05/16,14,42,10,0
06/05/16,15,50,12,0
06/05/16,16,38,9,0
06/05/16,17,17,4,0
06/05/16,18,21,5,0
06/05/16,19,38,9,0
06/05/16,20,33,8,0
06/05/16,21,29,7,0
06/05/16,22,147,54,0
06/05/16,23,38,9,0
07/05/16,0,29,7,0
07/05/16,1,46,11,0
07/05/16,2,33,8,0
07/05/16,3,66,19,0
07/05/16,4,78,25,0
07/05/16,5,46,11,0
07/05/16,6,70,21,0
07/05/16,7,78,25,0
07/05/16,8,46,11,0
07/05/16,9,50,12,0
07/05/16,10,42,10,0
07/05/16,11,33,8,0
07/05/16,12,21,5,0
07/05/16,13,13,3,0
07/05/16,14,33,8,0
07/05/16,15,33,8,0
07/05/16,16,55,14,0
07/05/16,17,55,14,0
07/05/16,18,50,12,0
07/05/16,19,61,17,0
07/05/16,20,63,18,0
07/05/16,21,63,18,0
07/05/16,22,80,26,0
07/05/16,23,137,50,0
08/05/16,0,119,43,0
08/05/16,1,137,50,0
08/05/16,2,142,52,0
08/05/16,3,155,63,0
08/05/16,4,156,65,0
08/05/16,5,158,69,0
08/05/16,6,156,66,0
08/05/16,7,157,67,0
08/05/16,8,154,61,0
