Year,Country,Projections for total
2008,Afghanistan,0.03
2005,Afghanistan,
2008,Albania,7.29
2005,Albania,
2008,Algeria,0.69
2005,Algeria,
2008,Andorra,10.17
2005,Andorra,
2008,Angola,5.57
2005,Angola,
2008,Antigua and Barbuda,8.17
2005,Antigua and Barbuda,
2008,Argentina,9.35
2005,Argentina,
2008,Armenia,13.66
2005,Armenia,
2008,Australia,10.21
2005,Australia,
2008,Austria,12.4
2005,Austria,
2008,Azerbaijan,13.34
2005,Azerbaijan,
2008,Bahamas,8.65
2005,Bahamas,
2008,Bahrain,4.19
2005,Bahrain,
2008,Bangladesh,0.17
2005,Bangladesh,
2008,Barbados,6.42
2005,Barbados,
2008,Belarus,18.85
2005,Belarus,
2008,Belgium,10.41
2005,Belgium,
2008,Belize,5.92
2005,Belize,
2008,Benin,2.08
2005,Benin,
2008,Bhutan,0.54
2005,Bhutan,
2008,Bolivia (Plurinational State of),5.78
2005,Bolivia (Plurinational State of),
2008,Bosnia and Herzegovina,9.6
2005,Bosnia and Herzegovina,
2008,Botswana,6.97
2005,Botswana,
2008,Brazil,10.08
2005,Brazil,
2008,Brunei Darussalam,1.86
2005,Brunei Darussalam,
2008,Bulgaria,11.4
2005,Bulgaria,
2008,Burkina Faso,7.32
2005,Burkina Faso,
2008,Burundi,9.65
2005,Burundi,
2008,Cote d'Ivoire,6.47
2005,Cote d'Ivoire,
2008,Cabo Verde,4.98
2005,Cabo Verde,
2008,Cambodia,4.71
2005,Cambodia,
2008,Cameroon,7.9
2005,Cameroon,
2008,Canada,10.2
2005,Canada,
2008,Central African Republic,3.17
2005,Central African Republic,
2008,Chad,4.39
2005,Chad,
2008,Chile,8.81
2005,Chile,
2008,China,5.56
2005,China,
2008,Colombia,6.59
2005,Colombia,
2008,Comoros,0.28
2005,Comoros,
2008,Congo,4.46
2005,Congo,
2008,Cook Islands,3.23
2005,Cook Islands,
2008,Costa Rica,5.81
2005,Costa Rica,
2008,Croatia,15
2005,Croatia,
2008,Cuba,5.12
2005,Cuba,
2008,Cyprus,8.84
2005,Cyprus,
2008,Czech Republic,16.47
2005,Czech Republic,
2008,Democratic People's Republic of Korea,4.34
2008,Democratic Republic of the Congo,3.39
2005,Democratic Republic of the Congo,
2008,Denmark,12.02
2005,Denmark,
2008,Djibouti,1.87
2005,Djibouti,
2008,Dominica,8.68
2005,Dominica,
2008,Dominican Republic,6.28
2005,Dominican Republic,
2008,Ecuador,9.43
2005,Ecuador,
2008,Egypt,0.32
2005,Egypt,
2008,El Salvador,3.99
2005,El Salvador,
2008,Equatorial Guinea,6.12
2005,Equatorial Guinea,
2008,Eritrea,1.64
2005,Eritrea,
2008,Estonia,17.24
2005,Estonia,
2008,Ethiopia,4.1
2005,Ethiopia,
2008,Fiji,2.76
2005,Fiji,
2008,Finland,13.1
2005,Finland,
2008,France,12.48
2005,France,
2008,Gabon,9.46
2005,Gabon,
2008,Gambia,3.58
2005,Gambia,
2008,Georgia,6.66
2005,Georgia,
2008,Germany,12.14
2005,Germany,
2008,Ghana,3.11
2005,Ghana,
2008,Greece,11.01
2005,Greece,
2008,Grenada,10.71
2005,Grenada,
2008,Guatemala,7.1
2005,Guatemala,
2008,Guinea,0.79
2005,Guinea,
2008,Guinea-Bissau,3.9
2005,Guinea-Bissau,
2008,Guyana,8.7
2005,Guyana,
2008,Haiti,5.92
2005,Haiti,
2008,Honduras,4.43
2005,Honduras,
2008,Hungary,16.12
2005,Hungary,
2008,Iceland,7.38
2005,Iceland,
2008,India,2.69
2005,India,
2008,Indonesia,0.56
2005,Indonesia,
2008,Iran (Islamic Republic of),1.03
2005,Iran (Islamic Republic of),
2008,Iraq,0.47
2005,Iraq,
2008,Ireland,14.92
2005,Ireland,
2008,Israel,2.52
2005,Israel,
2008,Italy,9.72
2005,Italy,
2008,Jamaica,5.17
2005,Jamaica,
2008,Japan,7.79
2005,Japan,
2008,Jordan,0.65
2005,Jordan,
2008,Kazakhstan,11.1
2005,Kazakhstan,
2008,Kenya,3.88
2005,Kenya,
2008,Kiribati,2.7
2005,Kiribati,
2008,Kuwait,0.1
2005,Kuwait,
2008,Kyrgyzstan,4.72
2005,Kyrgyzstan,
2008,Lao People's Democratic Republic,6.99
2005,Lao People's Democratic Republic,
2008,Latvia,13.45
