,j,u,v,temp,sal,y,mn,d,h,mi
1993-07-18 03:00:00,564.125,11.7,-1.3,28.3,29.2,1993,7,18,3,0
1993-07-18 04:00:00,564.1667,12.3,-4.5,28.1,29.4,1993,7,18,4,0
1993-07-18 05:00:00,564.2083,9.6,-5.3,27.6,31.0,1993,7,18,5,0
1993-07-18 06:00:00,564.25,7.6,-2.3,27.2,32.4,1993,7,18,6,0
1993-07-18 07:00:00,564.2917,10.6,-2.0,27.2,32.5,1993,7,18,7,0
1993-07-18 08:00:00,564.3333,15.0,-6.2,27.3,32.1,1993,7,18,8,0
1993-07-18 09:00:00,564.375,14.6,-10.4,27.3,32.1,1993,7,18,9,0
1993-07-18 10:00:00,564.4167,12.0,-11.4,27.3,32.2,1993,7,18,10,0
1993-07-18 11:00:00,564.4583,11.4,-8.9,27.3,32.4,1993,7,18,11,0
1993-07-18 12:00:00,564.5,9.3,-7.9,27.3,32.5,1993,7,18,12,0
1993-07-18 13:00:00,564.5417,5.2,-8.6,27.3,32.6,1993,7,18,13,0
1993-07-18 14:00:00,564.5833,4.7,-2.3,27.4,32.2,1993,7,18,14,0
1993-07-18 15:00:00,564.625,5.2,6.8,27.4,31.8,1993,7,18,15,0
1993-07-18 16:00:00,564.6667,2.3,7.6,27.4,32.2,1993,7,18,16,0
1993-07-18 17:00:00,564.7083,1.7,5.5,27.5,32.0,1993,7,18,17,0
1993-07-18 18:00:00,564.75,7.3,6.9,27.7,30.8,1993,7,18,18,0
1993-07-18 19:00:00,564.7917,11.6,7.4,28.1,29.0,1993,7,18,19,0
1993-07-18 20:00:00,564.8333,10.6,6.2,28.5,27.2,1993,7,18,20,0
1993-07-18 21:00:00,564.875,8.7,5.2,28.7,26.4,1993,7,18,21,0
1993-07-18 22:00:00,564.9167,7.7,4.7,28.7,26.4,1993,7,18,22,0
1993-07-18 23:00:00,564.9583,6.2,5.3,28.7,26.2,1993,7,18,23,0
1993-07-19 00:00:00,565.0,8.1,4.9,28.6,26.9,1993,7,19,0,0
1993-07-19 01:00:00,565.0417,12.9,4.2,28.5,28.1,1993,7,19,1,0
1993-07-19 02:00:00,565.0833,14.8,6.8,28.5,28.2,1993,7,19,2,0
1993-07-19 03:00:00,565.125,16.0,8.9,28.4,28.4,1993,7,19,3,0
1993-07-19 04:00:00,565.1667,19.4,4.1,28.2,30.1,1993,7,19,4,0
1993-07-19 05:00:00,565.2083,20.7,-4.9,28.0,31.3,1993,7,19,5,0
1993-07-19 06:00:00,565.25,18.0,-13.7,28.0,31.3,1993,7,19,6,0
1993-07-19 07:00:00,565.2917,15.5,-18.6,28.0,30.9,1993,7,19,7,0
1993-07-19 08:00:00,565.3333,16.1,-18.3,28.2,30.2,1993,7,19,8,0
1993-07-19 09:00:00,565.375,17.4,-17.1,28.3,29.7,1993,7,19,9,0
1993-07-19 10:00:00,565.4167,19.6,-15.1,28.3,29.6,1993,7,19,10,0
1993-07-19 11:00:00,565.4583,19.7,-10.8,28.2,29.7,1993,7,19,11,0
1993-07-19 12:00:00,565.5,10.7,-8.0,28.0,30.3,1993,7,19,12,0
1993-07-19 13:00:00,565.5417,1.5,-6.1,27.8,30.9,1993,7,19,13,0
1993-07-19 14:00:00,565.5833,1.0,-1.2,27.8,31.0,1993,7,19,14,0
1993-07-19 15:00:00,565.625,2.5,5.0,27.7,31.1,1993,7,19,15,0
1993-07-19 16:00:00,565.6667,3.9,6.4,27.8,31.1,1993,7,19,16,0
1993-07-19 17:00:00,565.7083,5.8,3.0,27.9,31.1,1993,7,19,17,0
1993-07-19 18:00:00,565.75,4.6,0.6,27.9,30.9,1993,7,19,18,0
1993-07-19 19:00:00,565.7917,3.7,0.5,28.0,30.2,1993,7,19,19,0
1993-07-19 20:00:00,565.8333,7.2,0.3,28.3,29.2,1993,7,19,20,0
1993-07-19 21:00:00,565.875,13.3,0.5,28.5,28.8,1993,7,19,21,0
1993-07-19 22:00:00,565.9167,17.2,1.1,28.3,29.1,1993,7,19,22,0
1993-07-19 23:00:00,565.9583,17.2,2.6,28.1,29.5,1993,7,19,23,0
1993-07-20 00:00:00,566.0,16.2,5.1,28.0,29.9,1993,7,20,0,0
1993-07-20 01:00:00,566.0417,13.9,7.3,28.0,30.1,1993,7,20,1,0
1993-07-20 02:00:00,566.0833,9.9,9.7,28.0,30.0,1993,7,20,2,0
1993-07-20 03:00:00,566.125,9.4,13.3,28.0,30.2,1993,7,20,3,0
