,date,depth,etype,lat,lon,lvl,place,time,lvl_new,datetime
0,2016-05-26,6.0,天然地震,28.5,87.6,Ms3.2,西藏,17:29:25,3.8,2016-05-26T17:29:25
1,2016-05-24,12.0,天然地震,27.46,101.81,ML2.4,四川,23:57:15,2.4,2016-05-24T23:57:15
2,2016-05-24,13.0,天然地震,27.48,101.82,ML2.4,四川,23:57:15,2.4,2016-05-24T23:57:15
3,2016-05-24,15.0,天然地震,37.46,115.01,ML1.3,河北,23:55:45,1.3,2016-05-24T23:55:45
4,2016-05-24,10.0,天然地震,37.7,112.46,ML1.1,山西,23:53:56,1.1,2016-05-24T23:53:56
5,2016-05-24,12.0,天然地震,38.6,103.03,ML0.7,甘肃,23:44:38,0.7,2016-05-24T23:44:38
6,2016-05-24,18.0,天然地震,26.7,100.13,ML0.3,云南,23:41:11,0.3,2016-05-24T23:41:11
7,2016-05-24,11.0,天然地震,46.56,92.4,ML1.6,蒙古,23:39:43,1.6,2016-05-24T23:39:43
8,2016-05-24,6.0,天然地震,34.46,100.29,ML1.5,青海,23:17:08,1.5,2016-05-24T23:17:08
9,2016-05-24,5.0,天然地震,28.6,103.7,ML1.2,四川,23:15:24,1.2,2016-05-24T23:15:24
10,2016-05-24,14.0,天然地震,32.08,104.43,ML1.1,四川,22:52:41,1.1,2016-05-24T22:52:41
11,2016-05-24,6.0,天然地震,34.44,100.28,ML2.5,青海,22:48:03,2.5,2016-05-24T22:48:03
12,2016-05-24,13.0,天然地震,32.31,104.93,ML0.9,四川,22:44:24,0.9,2016-05-24T22:44:24
13,2016-05-24,8.0,天然地震,39.03,116.92,ML1.7,天津,22:44:17,1.7,2016-05-24T22:44:17
14,2016-05-24,7.0,天然地震,31.95,95.02,ML2.6,西藏,22:26:42,2.6,2016-05-24T22:26:42
15,2016-05-24,6.0,天然地震,31.89,94.97,ML2.5,西藏,22:26:40,2.5,2016-05-24T22:26:40
