caseid,Healthy_diet,Permissive_parenting,Sibling_aggression,Television,computer_games,Aggression
1,3,37.20966087,17,103.4534107,42.83813373,24
2,4,27.51833456,26,99.34256315,54.19836443,28
3,5,36.71937026,18,98.51079589,32.19718887,19
4,3,29.94880692,20,99.91146737,31.83839281,20
5,5,44.89477816,11,86.4952262,34.4444439,17
6,2,22.59017717,18,104.0496027,46.43016581,22
7,1,40.92294379,25,103.733284,46.12531865,21
8,4,37.8212611,21,101.0008732,37.9016351,20
9,6,41.12905391,22,91.39039939,40.04607023,18
10,2,22.05203313,19,93.59222263,26.43282239,17
11,2,36.24057508,22,99.09164854,26.73289821,23
12,3,25.75073549,25,93.50289895,41.18569927,15
13,5,44.27441086,22,107.3093642,41.7244793,16
14,4,42.16801809,23,104.1629614,38.79905241,21
15,3,22.52984853,16,95.43829013,39.46485699,15
16,4,44.10699042,22,99.92784409,40.13782871,21
17,5,40.18832783,20,98.61281226,40.78133111,19
18,7,41.70665669,15,87.48589231,38.97596615,18
19,4,34.33769111,17,93.38131441,28.50329715,20
20,6,62.81427779,19,106.3217113,44.10092962,23
21,1,55.9329494,20,99.91983033,47.25286617,19
22,7,36.43090269,18,98.7817447,36.72851331,20
23,1,28.24812946,19,88.11570987,41.10360854,17
24,3,27.44755327,19,97.06629013,32.94761904,21
25,4,33.34198905,21,97.66283697,37.31146827,21
26,4,38.60579066,21,102.4452689,40.57677774,20
27,6,33.81211125,22,95.45642128,39.76751569,19
28,4,32.42742488,20,98.25895819,31.31436985,20
29,3,30.15998398,23,108.0514393,30.70282636,15
30,7,46.52721939,20,108.4396855,49.34186587,19
31,7,45.5635001,28,108.3331779,52.53376619,21
32,4,44.6218651,19,99.85822144,38.03861643,19
33,2,31.37200371,17,94.57262433,37.52955704,14
34,4,46.40050258,20,105.9084175,32.83837006,15
35,4,43.11211936,20,102.9231349,45.1787646,16
36,4,47.22277519,22,108.4882176,34.23740598,14
37,6,21.24819105,15,89.07991481,30.22710081,21
38,4,37.6427412,20,99.31754251,35.60238555,22
39,7,43.361215,23,107.2862914,57.78872411,20
40,3,54.15452265,26,96.1233147,16.92330904,20
41,4,40.01803915,20,101.2928286,39.50275096,21
42,2,42.90157002,12,104.9134601,38.66873352,20
43,4,55.73574748,17,104.2973928,38.24190309,24
44,3,45.57871838,21,102.047058,44.88896673,21
45,5,29.52903944,21,97.06085397,51.70076643,20
46,3,34.12964389,20,104.3313519,43.98824716,20
47,4,42.38657822,20,89.3325626,52.53485829,28
48,2,37.61072511,12,93.21492912,40.46749495,20
49,4,48.36876894,17,102.1957337,39.80788349,17
50,5,43.38680471,21,105.0722845,52.20072403,22
51,5,27.8264508,13,96.0012819,33.91808536,19
52,1,38.82896243,21,99.81601671,35.30895536,22
53,4,41.81854041,20,101.212293,40.01767902,21
54,7,53.28341397,26,96.55195953,53.58884705,21
55,4,30.29911809,20,101.9290087,46.44100156,20
56,5,38.89972354,21,99.07048572,41.6052401,14
57,5,32.54838939,23,96.57684973,45.64302399,20
58,4,43.14419449,18,100.9189315,45.11811213,22
