caseid,age,theoryofmind,display
1,24,0,0
2,26,0,0
3,30,0,0
4,31,0,0
5,36,0,0
6,29,0,1
7,28,0,0
8,36,0,0
9,34,0,1
10,31,0,0
11,32,0,0
12,30,1,1
13,26,0,0
14,35,1,0
15,36,0,0
16,36,0,0
17,25,0,1
18,24,0,0
19,24,1,1
20,26,0,0
21,29,0,0
22,34,1,1
23,31,1,1
24,40,1,0
25,45,0,0
26,30,0,0
27,30,0,0
28,36,0,0
29,45,1,1
30,40,0,0
31,41,0,1
32,32,0,0
33,48,1,1
34,43,1,1
35,46,1,1
36,40,1,1
37,41,1,0
38,43,1,1
39,44,0,1
40,39,1,0
41,49,1,1
42,52,1,1
43,56,1,1
44,58,1,1
45,53,1,1
46,52,1,0
47,51,1,1
48,59,0,0
49,60,0,0
50,60,1,0
51,63,1,1
52,64,1,1
53,65,1,1
54,69,1,1
55,68,1,1
56,70,1,1
57,71,1,0
58,67,1,1
59,64,1,1
60,63,0,1
61,73,1,1
62,74,1,1
63,78,1,1
64,79,1,1
65,82,1,1
66,79,1,1
67,76,1,1
68,74,1,0
69,83,1,1
70,82,1,1
